catalogue,title,authors,doi,year,journal,species,study_type,bulk_transcriptomics,single_cell_transcriptomics,imaging,spatial_transcriptomics,spatial_proteomics,chip_seq,metabolomics,proteomics,lineage_barcoding,time_points_days,tissues,summary,public_links
atlas,A spatiotemporal atlas of mouse gastrulation and early organogenesis to explore axial patterning and project in vitro models onto in vivo space,,10.1016/j.celrep.2025.116047,2025,Cell Reports,Mouse,primary,❌,✅,❌,✅,❌,❌,❌,❌,❌,Gastrulation to early organogenesis (embryonic-day axis; see article),Whole embryo; axial patterning; mesoderm; neural; endoderm,Spatiotemporal mouse gastrulation atlas integrating spatial transcriptomics with scRNA-seq for in vitro projection.,https://doi.org/10.1016/j.celrep.2025.116047
atlas,An integrated transcriptomic cell atlas of human endoderm-derived organoids,"Xu, Q.; Camp, J.G.",10.1038/s41588-025-02182-6,2025,Nature Genetics,Human,primary,❌,✅,❌,❌,❌,❌,❌,❌,❌,Multi-protocol meta-atlas (variable culture ages across source studies),Endoderm; lung; intestine; liver; biliary; stomach; pancreas; prostate,HEOCA (~1M cells) integrates endoderm organoid sc/snRNA-seq to assess protocol fidelity vs primary tissues.,CELLxGENE HEOCA; GSE287233; Zenodo 10.5281/zenodo.8181495; https://github.com/devsystemslab/HEOCA
atlas,An integrated transcriptomic cell atlas of human neural organoids,"He, Z.; Treutlein, B.",10.1038/s41586-024-08172-8,2024,Nature,Human,primary,❌,✅,❌,❌,❌,❌,❌,❌,❌,Multi-protocol meta-atlas (~7–450 culture days across source studies),Neural; brain organoids,HNOCA (>1.7M cells; 26 protocols) maps neural organoid coverage vs developing brain references.,CELLxGENE HNOCA; Zenodo 10.5281/zenodo.11203684; https://github.com/devsystemslab/HNOCA-tools
atlas,Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids,"van den Brink, S.C.; van Oudenaarden, A.",10.1038/s41586-020-2024-3,2020,Nature,Mouse,primary,❌,✅,✅,✅,❌,❌,❌,❌,❌,~2–5 (gastruloid culture days; tomo-seq mainly at ~120 h / day 5),NMP; somite/presomitic mesoderm; neural; endoderm; mesoderm,Gastruloid–embryo scRNA-seq + tomo-seq atlas of somitogenesis and A–P organisation.,GSE123187; https://avolab.hubrecht.eu/MouseGastruloids2020; GitHub anna-alemany/vincentvbatenburg
atlas,A single-cell molecular map of mouse gastrulation and early organogenesis,"Pijuan-Sala, B.; Marioni, J.C.",10.1038/s41586-019-0933-9,2019,Nature,Mouse,primary,❌,✅,❌,❌,❌,❌,❌,❌,❌,E6.5–E8.5 (~embryonic days; 9 sequential collections),Whole embryo; pluripotent epiblast; mesoderm; endoderm; ectoderm,In vivo molecular roadmap of lineage diversification during mouse gastrulation (~116k cells).,E-MTAB-6967; Bioconductor MouseGastrulationData; https://marionilab.cruk.cam.ac.uk/MouseGastrulation2018/; https://github.com/MarioniLab/EmbryoTimecourse2018
gastruloid,Endogenous FGFs drive ERK-dependent cell fate patterning in 2D human gastruloids,Kyoung Jo; Zong-Yuan Liu,10.1242/dev.205459,2026,Development,Human,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,See article (2D gastruloid patterning time course),Primitive streak; mesoderm,FGF–ERK signalling drives primitive-streak patterning in 2D human gastruloids.,https://doi.org/10.1242/dev.205459
gastruloid,FATE-MAP predicts teratogenicity and human gastrulation failure modes by integrating deep learning and mechanistic modeling,Joseph Rufo; Chongxu Qiu,10.1038/s41467-026-69596-6,2026,Nature Communications,Human,primary,❌,❌,✅,❌,❌,❌,❌,❌,❌,See article (2D gastruloid morphospace / perturbation screen),Primitive streak; mesoderm; ectoderm/neural; endoderm (2D patterning),FATE-MAP maps human 2D gastruloid morphospace; density-dependent Wnt and SOX2 stability as main axes.,https://doi.org/10.1038/s41467-026-69596-6; preprint 10.1101/2024.09.20.614192
gastruloid,Lineage tracing in gastruloids to understand determinants of early fate decisions,Sung-Eun Park; Junhong Choi,10.1016/j.gde.2026.102498,2026,Current Opinion in Genetics & Development,Mouse / gastruloid models,review,❌,❌,❌,❌,❌,❌,❌,❌,✅,—,Early fate decisions; germ layers (review scope),Review of lineage tracing in gastruloids and interplay of fate with signalling.,https://doi.org/10.1016/j.gde.2026.102498
gastruloid,Minimal essential requirements for neural tube self-organisation,Hannah T. Stuart; Elena Costantini,10.64898/2026.06.06.730555,2026,bioRxiv (preprint),Mouse / stem-cell models,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,See preprint (neural-tube organoid time course),Neural tube; neural,Neural tube organoids self-organise via RA-driven cellular diversity and morphogen patterning.,https://doi.org/10.64898/2026.06.06.730555
gastruloid,The proteomic landscape and temporal dynamics of human and mouse gastruloid development,Riddhiman K. Garge; Devin K. Schweppe,10.1038/s41556-026-01937-5,2026,Nature Cell Biology,Mouse + human,primary,✅,❌,❌,❌,❌,❌,❌,✅,❌,~4 stages (matched mouse/human gastruloid time course),Germ layers; axial development; global lineage-stage programmes,"Matched temporal proteome, phosphoproteome and transcriptome dynamics in mouse and human gastruloids.",GEO GSE273813; ProteomeXchange/PRIDE
gastruloid,Using CRISPR barcoding as a molecular clock to capture dynamic processes at single-cell resolution,Yolanda Andres-Lopez; Alice Santambrogio,10.1101/gr.280915.125,2026,Genome Research,Mouse,primary,❌,✅,❌,❌,❌,❌,❌,❌,✅,See article (gastruloid state-transition time course),Mesoderm; neural; multipotent progenitors,CRISPR barcoding with transcriptomics tracks cell-state transitions in mouse gastruloids.,https://doi.org/10.1101/gr.280915.125
gastruloid,An inducible model of human post-implantation development derived from primed and naive stem cells,Seiya Oura; Leijie Li,10.1016/j.stem.2025.08.005,2025,Cell Stem Cell,Human,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,Post-implantation to ~CS5–6 (see article),Epiblast; germ layers; post-implantation embryo model,Inducible stem-cell embryo models recapitulate human post-implantation development to CS5–6.,https://doi.org/10.1016/j.stem.2025.08.005
gastruloid,Barcoded monoclonal embryoids are a potential solution to confounding bottlenecks in mosaic organoid screens,Samuel G. Regalado; Chengxiang Qiu,10.1101/2025.05.23.655669,2025,bioRxiv (preprint),Mouse,primary,❌,✅,❌,❌,❌,❌,❌,❌,✅,See preprint (mosaic embryoid screen),Embryoid body; multipotent / germ-layer progenitors,CRISPR TF screen in mosaic embryoid bodies using scRNA-seq and barcoding.,https://doi.org/10.1101/2025.05.23.655669
gastruloid,Establishment of Human Gastrulating Stem Cells with the Capacity of Stable Differentiation into Multiple Gastrulating Cell Types,Mingqian Huang; Jing Sha,10.1038/s41422-025-01146-z,2025,Cell Research,Human,primary,❌,✅,✅,❌,❌,❌,❌,❌,❌,Multiple (derivation and differentiation assays),Mesendoderm; ectoderm/neural; mesoderm; endoderm,Stable human gastrulating stem cells differentiating into multiple gastrulation-like lineages.,GEO/SRA in data availability
gastruloid,Extended culture of 2D gastruloids to model human mesoderm development,Bohan Chen; Hina Khan,10.1038/s41592-025-02669-4,2025,Nature Methods,Human,primary,❌,❌,✅,❌,❌,❌,❌,❌,❌,0–10 (extended 2D culture to day 10),Mesoderm,Extended 2D gastruloid culture protocol for reproducible human mesoderm modelling to day 10.,https://doi.org/10.1038/s41592-025-02669-4
gastruloid,Gastruloid patterning reflects division of labor among biased stem cell clones,Vinay Ayyappan; Arjun Raj,10.1101/2025.07.12.664536,2025,bioRxiv / PMC preprint,Mouse,primary,❌,❌,✅,✅,❌,❌,❌,❌,✅,~5 (main endpoint ~120 h),NMP/posterior; anterior/neural; mesoderm; endoderm,Clonal bias and clone mixing in robust A–P patterning (seqFISH marker panel).,Dropbox dataset; bioRxiv/PMC
