study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,celltype,n_selected_genes,padj_celltype_BH,pct_TLS,pct_neural_bias,detection_freq,padj_global_BH
GSE250136,mast,celltype_single_cell,0610009B22Rik,H,Morphotypeneural_bias,0.982125192777939,NA,NA,NA,NA,0.002065629335866681,0.002065629335866681,neural,9926,0.9949179805425017,0.2071756137038036,0.21898197242841994,0.2131300976066319,1
GSE250136,mast,celltype_single_cell,0610010F05Rik,H,Morphotypeneural_bias,0.1842042555858206,NA,NA,NA,NA,0.02054294288069969,0.02054294288069969,neural,9926,0.5590023776195534,0.205017534394389,0.2295864262990456,0.21740874448455677,0.7608356460391109
GSE250136,mast,celltype_single_cell,0610010K14Rik,H,Morphotypeneural_bias,0.10537278270017758,NA,NA,NA,NA,-0.01756886086386089,-0.01756886086386089,neural,9926,0.43799423830902956,0.7618019962233612,0.7484093319194062,0.755047466238802,0.6725149531786094
GSE250136,mast,celltype_single_cell,0610012G03Rik,H,Morphotypeneural_bias,0.6800318038488791,NA,NA,NA,NA,-0.026151386581382052,-0.026151386581382052,neural,9926,0.8933432264942457,0.7097383328837334,0.7089077412513256,0.7093194277309801,0.941816034363937
GSE250136,mast,celltype_single_cell,0610030E20Rik,H,Morphotypeneural_bias,0.33272430975052886,NA,NA,NA,NA,0.01820475880269043,0.01820475880269043,neural,9926,0.699847501558339,0.21904504990558404,0.2436373276776246,0.2314480545527477,0.8372937048537428
GSE250136,mast,celltype_single_cell,0610040B10Rik,H,Morphotypeneural_bias,0.39486032158245826,NA,NA,NA,NA,0.01286360381009774,0.01286360381009774,neural,9926,0.7480757346629034,0.1464796331265174,0.16410392364793214,0.15536836475464635,0.8587065276660071
GSE250136,mast,celltype_single_cell,1110002L01Rik,H,Morphotypeneural_bias,0.7885762847087586,NA,NA,NA,NA,-3.235273517302739e-4,-3.235273517302739e-4,neural,9926,0.9352126740360243,0.08119773401672511,0.0861611876988335,0.083701029549405,0.9649890062788418
GSE250136,mast,celltype_single_cell,1110004F10Rik,H,Morphotypeneural_bias,0.05611972086871511,NA,NA,NA,NA,0.1402491690819616,0.1402491690819616,neural,9926,0.3261051633587365,0.974912328028055,0.9745493107104984,0.9747292418772563,0.5686556035758903
GSE250136,mast,celltype_single_cell,1110008P14Rik,H,Morphotypeneural_bias,0.011200955390472745,NA,NA,NA,NA,0.02752934382766778,0.02752934382766778,neural,9926,0.1352563056032025,0.1718370650121392,0.19697773064687168,0.18451664661050943,0.31463240946674675
GSE250136,mast,celltype_single_cell,1110012L19Rik,H,Morphotypeneural_bias,0.125214864381773,NA,NA,NA,NA,0.006799714518734484,0.006799714518734484,neural,9926,0.4769414941616519,0.18181818181818182,0.19034994697773064,0.18612113918973125,0.7028766806443543
GSE250136,mast,celltype_single_cell,1110032A03Rik,H,Morphotypeneural_bias,0.4747042715077705,NA,NA,NA,NA,-0.0088098421711659,-0.0088098421711659,neural,9926,0.7890037602422455,0.15780954950094417,0.16092258748674443,0.1593795962027009,0.8859209069000318
GSE250136,mast,celltype_single_cell,1110038B12Rik,H,Morphotypeneural_bias,0.0026255074874933734,NA,NA,NA,NA,0.15897242141574353,0.15897242141574353,neural,9926,0.05200400825255368,0.9050445103857567,0.9117179215270413,0.908410215269421,0.1487632150980917
GSE250136,mast,celltype_single_cell,1110038F14Rik,H,Morphotypeneural_bias,0.3137312554872838,NA,NA,NA,NA,-0.039449979835110005,-0.039449979835110005,neural,9926,0.686226628904094,0.6115457243053682,0.6113467656415694,0.611445380398449,0.8298866565638829
GSE250136,mast,celltype_single_cell,1110051M20Rik,H,Morphotypeneural_bias,0.3068628831498186,NA,NA,NA,NA,-0.010275281078172827,-0.010275281078172827,neural,9926,0.6805006653586013,0.2158079309414621,0.21474019088016968,0.21526942104559432,0.826603805836442
GSE250136,mast,celltype_single_cell,1110059E24Rik,H,Morphotypeneural_bias,0.05537149846584588,NA,NA,NA,NA,-0.020477308404286854,-0.020477308404286854,neural,9926,0.3248485094787387,0.4736984084165093,0.4628844114528102,0.4682444177029015,0.5661104030671521
GSE250136,mast,celltype_single_cell,1110059G10Rik,H,Morphotypeneural_bias,0.7130136232149813,NA,NA,NA,NA,0.003819263430737241,0.003819263430737241,neural,9926,0.9058457985449768,0.28162934987860805,0.29957582184517495,0.29068057226901994,0.9493140482286001
GSE250136,mast,celltype_single_cell,1110065P20Rik,H,Morphotypeneural_bias,0.28111222258669877,NA,NA,NA,NA,-0.027555383174242665,-0.027555383174242665,neural,9926,0.6610226925979643,0.4210952252495279,0.41542948038176036,0.4182377323171547,0.8158387859436987
GSE250136,mast,celltype_single_cell,1190005I06Rik,H,Morphotypeneural_bias,0.0759090094334572,NA,NA,NA,NA,0.0022034064998980862,0.0022034064998980862,neural,9926,0.37953584945805263,0.052603183166981385,0.059650053022269355,0.05615724027276374,0.6223630235563192
GSE250136,mast,celltype_single_cell,1190007I07Rik,H,Morphotypeneural_bias,0.23812882542291733,NA,NA,NA,NA,0.02140457834963083,0.02140457834963083,neural,9926,0.6177905700856972,0.2751551119503642,0.29453870625662776,0.2849311405268084,0.7885666549973027
GSE250136,mast,celltype_single_cell,1300002E11Rik,H,Morphotypeneural_bias,0.9989784256088426,NA,NA,NA,NA,8.392520609476484e-5,8.392520609476484e-5,neural,9926,0.9992804446833994,0.1826274615592123,0.19167550371155886,0.18719080090921247,1
GSE250136,mast,celltype_single_cell,1500004A13Rik,H,Morphotypeneural_bias,0.3361314196091141,NA,NA,NA,NA,-0.007900230471231867,-0.007900230471231867,neural,9926,0.7013749150809473,0.05718910169948745,0.05408271474019088,0.055622409413023134,0.8384350884210977
GSE250136,mast,celltype_single_cell,1500009L16Rik,H,Morphotypeneural_bias,0.1521041608861473,NA,NA,NA,NA,0.02602885417533901,0.02602885417533901,neural,9926,0.5191404532179852,0.258160237388724,0.28340402969247086,0.2708918304586175,0.7309896728122401
GSE250136,mast,celltype_single_cell,1500011B03Rik,H,Morphotypeneural_bias,0.01923395494964265,NA,NA,NA,NA,0.0592759862999952,0.0592759862999952,neural,9926,0.18809481461098812,0.5562449420016186,0.574761399787911,0.5655836341756919,0.4000680267265194
GSE250136,mast,celltype_single_cell,1500015A07Rik,H,Morphotypeneural_bias,0.615411994225036,NA,NA,NA,NA,-0.006926916860350962,-0.006926916860350962,neural,9926,0.8627937082878118,0.275424871864041,0.27863202545068927,0.27704238534563447,0.9259449145308202
GSE250136,mast,celltype_single_cell,1600002K03Rik,H,Morphotypeneural_bias,0.7783224793881515,NA,NA,NA,NA,0.0032732904093231985,0.0032732904093231985,neural,9926,0.9307492885359119,0.06447261936876181,0.07051961823966066,0.06752239604225163,0.96251370853332
GSE250136,mast,celltype_single_cell,1600012H06Rik,H,Morphotypeneural_bias,0.05211141312288417,NA,NA,NA,NA,0.015500681468302482,0.015500681468302482,neural,9926,0.3159000161515156,0.08254653358510926,0.10153764581124072,0.09212461559031956,0.5580917298548929
GSE250136,mast,celltype_single_cell,1600020E01Rik,H,Morphotypeneural_bias,0.32196406230302044,NA,NA,NA,NA,-0.009364779500477566,-0.009364779500477566,neural,9926,0.6918846682008619,0.1240895602913407,0.12036055143160128,0.12220885145072871,0.8332998067592152
GSE250136,mast,celltype_single_cell,1700003F12Rik,H,Morphotypeneural_bias,0.15994215927039301,NA,NA,NA,NA,0.003365243572993726,0.003365243572993726,neural,9926,0.5283171025392825,0.09117885082276773,0.10233297985153765,0.09680438561304987,0.7387712412388819
GSE250136,mast,celltype_single_cell,1700007L15Rik,H,Morphotypeneural_bias,0.6516550238903522,NA,NA,NA,NA,-0.005101648645999199,-0.005101648645999199,neural,9926,0.879071689682757,0.08524413272187753,0.0861611876988335,0.08570664527343227,0.9356355171864152
GSE250136,mast,celltype_single_cell,1700008J07Rik,H,Morphotypeneural_bias,0.47479452976706377,NA,NA,NA,NA,0.008376979688079461,0.008376979688079461,neural,9926,0.7890037602422455,0.08416509306717022,0.09703075291622482,0.09065383072603289,0.8859209069000318
GSE250136,mast,celltype_single_cell,1700017B05Rik,H,Morphotypeneural_bias,0.44979474637199857,NA,NA,NA,NA,-0.013503962929154067,-0.013503962929154067,neural,9926,0.7750528738478862,0.1874831400053952,0.18875927889713678,0.18812675491375852,0.8768797288000575
GSE250136,mast,celltype_single_cell,1700021F05Rik,H,Morphotypeneural_bias,0.5028201802811753,NA,NA,NA,NA,-2.626330536735222e-4,-2.626330536735222e-4,neural,9926,0.8038423984127492,0.27677367143242515,0.29427359490986216,0.28559967910148415,0.8941527789290984
GSE250136,mast,celltype_single_cell,1700025G04Rik,H,Morphotypeneural_bias,0.2629738671343318,NA,NA,NA,NA,0.031047060583025532,0.031047060583025532,neural,9926,0.6470695600335591,0.41704882654437553,0.4411452810180276,0.42920176494183715,0.8057152919257639
GSE250136,mast,celltype_single_cell,1700030K09Rik,H,Morphotypeneural_bias,0.8600212624800422,NA,NA,NA,NA,-0.0024795742353934808,-0.0024795742353934808,neural,9926,0.9598123511779737,0.06797949824656056,0.06998939554612937,0.0689931809065383,0.9803062741367566
GSE250136,mast,celltype_single_cell,1700037C18Rik,H,Morphotypeneural_bias,0.31016754077935743,NA,NA,NA,NA,0.002730703737679731,0.002730703737679731,neural,9926,0.6832496692800493,0.03398974912328028,0.039766702014846236,0.036903329322101885,0.8284845781573569
GSE250136,mast,celltype_single_cell,1700037H04Rik,H,Morphotypeneural_bias,0.007057338790138331,NA,NA,NA,NA,0.0738178385445134,0.0738178385445134,neural,9926,0.10027717784437437,0.5133531157270029,0.5540827147401909,0.533894905736061,0.25184817704980056
GSE250136,mast,celltype_single_cell,1700052K11Rik,H,Morphotypeneural_bias,0.14161903464450304,NA,NA,NA,NA,-0.00204551051017611,-0.00204551051017611,neural,9926,0.501860242014044,0.10089020771513353,0.10975609756097561,0.10536167936889959,0.7178526344858807
GSE250136,mast,celltype_single_cell,1700063J08Rik,H,Morphotypeneural_bias,0.7498840693605167,NA,NA,NA,NA,0.0030664842714939952,0.0030664842714939952,neural,9926,0.9218933134650549,0.04181278661990828,0.04798515376458112,0.04492579221821099,0.9574065647283001
GSE250136,mast,celltype_single_cell,1700086O06Rik,H,Morphotypeneural_bias,0.903821566748953,NA,NA,NA,NA,0.004340012324508702,0.004340012324508702,neural,9926,0.9731928694366918,0.1561909900188832,0.16755037115588547,0.1619200427864688,0.988079174498913
GSE250136,mast,celltype_single_cell,1700094D03Rik,H,Morphotypeneural_bias,0.25031412710562023,NA,NA,NA,NA,0.004067467254508524,0.004067467254508524,neural,9926,0.63239946716385,0.04990558403021311,0.059650053022269355,0.05482016312341222,0.7982504914879294
GSE250136,mast,celltype_single_cell,1700096K18Rik,H,Morphotypeneural_bias,0.4701879014662732,NA,NA,NA,NA,0.005877024675092116,0.005877024675092116,neural,9926,0.7861015849678672,0.08956029134070677,0.10127253446447508,0.09546730846369836,0.884106968389246
GSE250136,mast,celltype_single_cell,1700102H20Rik,H,Morphotypeneural_bias,0.4287827274620312,NA,NA,NA,NA,-0.00501558195507594,-0.00501558195507594,neural,9926,0.7646605217006326,0.04424062584299973,0.042682926829268296,0.043455007353924324,0.8708742364541946
GSE250136,mast,celltype_single_cell,1700109H08Rik,H,Morphotypeneural_bias,0.6960100406559745,NA,NA,NA,NA,-3.874550958375064e-4,-3.874550958375064e-4,neural,9926,0.8995567270248962,0.04531966549770704,0.048250265111346766,0.04679770022730312,0.945809254565685
