study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,padj_BH,pct_TLS,pct_neural_bias,detection_freq
GSE250136,mast,sample_single_cell,1110004F10Rik,H,Morphotypeneural_bias,0.025938151432212196,NA,NA,NA,NA,0.4268480217178565,0.4268480217178565,0.07286572803654347,0.8401750096512676,0.8548963545389564,0.8463379965586894
GSE250136,mast,sample_single_cell,1110038B12Rik,H,Morphotypeneural_bias,0.003072032828987486,NA,NA,NA,NA,0.27465053587253996,0.27465053587253996,0.039156955760527065,1,1,1
GSE250136,mast,sample_single_cell,1810058I24Rik,H,Morphotypeneural_bias,0.056628228965180646,NA,NA,NA,NA,0.18474217739645837,0.18474217739645837,0.10289469688566867,0.8778792948140522,0.8741958541815582,0.8763372484476696
GSE250136,mast,sample_single_cell,2410006H16Rik,H,Morphotypeneural_bias,0.02362373412796972,NA,NA,NA,NA,0.5945834818608349,0.5945834818608349,0.07001605895110906,0.8505983785870544,0.8649035025017869,0.8565871175282412
GSE250136,mast,sample_single_cell,2810004N23Rik,H,Morphotypeneural_bias,0.028821908837688794,NA,NA,NA,NA,0.24558109018160934,0.24558109018160934,0.07683371967900458,0.7952644447304079,0.8095067905646891,0.8012269020722675
GSE250136,mast,sample_single_cell,Abcf1,H,Morphotypeneural_bias,0.02922719879808546,NA,NA,NA,NA,0.24507369672825474,0.24507369672825474,0.077010522699047193,0.9925363531077082,0.990350250178699,0.9916211565796365
GSE250136,mast,sample_single_cell,Acin1,H,Morphotypeneural_bias,0.07460318422047599,NA,NA,NA,NA,0.2849388252023086,0.2849388252023086,0.11975774309076409,0.8929352721657444,0.8945675482487491,0.8936186130021695
GSE250136,mast,sample_single_cell,Acp1,H,Morphotypeneural_bias,0.058583620084689446,NA,NA,NA,NA,0.3052566511606982,0.3052566511606982,0.10418875558455422,0.9494273581263672,0.9490707648320229,0.9492780728660133
GSE250136,mast,sample_single_cell,Actb,H,Morphotypeneural_bias,0.24021630202956587,NA,NA,NA,NA,2.4660677201937915,2.4660677201937915,0.27352629591099903,0.9998713164328915,0.9996426018584703,0.9997755666940974
GSE250136,mast,sample_single_cell,Actg1,H,Morphotypeneural_bias,0.07835765990265332,NA,NA,NA,NA,1.453983865279227,1.453983865279227,0.12287002585472472,0.9396474070261228,0.9387062187276626,0.939253385202364
GSE250136,mast,sample_single_cell,Actl6a,H,Morphotypeneural_bias,0.04261148479999473,NA,NA,NA,NA,0.21897138591354404,0.21897138591354404,0.08897361373886431,0.9882897953931283,0.9894567548248749,0.9887783347048702
GSE250136,mast,sample_single_cell,Adh5,H,Morphotypeneural_bias,0.04471350706171933,NA,NA,NA,NA,0.2649721708243673,0.2649721708243673,0.09103155690771035,0.9979410629262643,0.9980343102215868,0.9979801002468767
GSE250136,mast,sample_single_cell,Aimp1,H,Morphotypeneural_bias,0.06063381772794067,NA,NA,NA,NA,0.3007165955527977,0.3007165955527977,0.10589218883366326,0.98121219920216185,0.9778413152251608,0.9798010024687663
GSE250136,mast,sample_single_cell,Akr1a1,H,Morphotypeneural_bias,0.3020593589573797,NA,NA,NA,NA,0.12952559457881163,0.12952559457881163,0.3307162724994901,0.8567751898082615,0.8573981415296641,0.8570359841400463
GSE250136,mast,sample_single_cell,Aldoa,H,Morphotypeneural_bias,0.049348483250898606,NA,NA,NA,NA,1.0553792668437918,1.0553792668437918,0.09628897011477253,0.9597220434950456,0.956397426733381,0.9583302162040847
GSE250136,mast,sample_single_cell,Alyref,H,Morphotypeneural_bias,0.0180868480631119,NA,NA,NA,NA,0.5315604738192627,0.5315604738192627,0.067828541548252,0.9629391326727577,0.9610436025732666,0.9621455824044288
GSE250136,mast,sample_single_cell,Anapc13,H,Morphotypeneural_bias,0.015528318334948187,NA,NA,NA,NA,0.19841625386387163,0.19841625386387163,0.06437467892255219,0.9998713164328915,1,0.9999251888980325
GSE250136,mast,sample_single_cell,Anapc5,H,Morphotypeneural_bias,0.01014973559746558,NA,NA,NA,NA,0.20161131191542836,0.20161131191542836,0.056601416340753496,1,1,1
GSE250136,mast,sample_single_cell,Ankrd11,H,Morphotypeneural_bias,0.04147496074135547,NA,NA,NA,NA,0.4106547355631722,0.4106547355631722,0.08823407148393672,0.9351434821773259,0.9279842744817727,0.9321463305154485
GSE250136,mast,sample_single_cell,Anp32a,H,Morphotypeneural_bias,0.04003800513651743,NA,NA,NA,NA,0.6770225445549389,0.6770225445549389,0.0869428245637406,0.8884313473169476,0.8890278770550393,0.8886810802723124
GSE250136,mast,sample_single_cell,Anp32b,H,Morphotypeneural_bias,0.014117216277477383,NA,NA,NA,NA,1.7752315789720647,1.7752315789720647,0.06109096824647664,0.999742632865783,0.9994639027877055,0.9996259444901623
GSE250136,mast,sample_single_cell,Anp32e,H,Morphotypeneural_bias,0.018432186222542925,NA,NA,NA,NA,0.598387144660383,0.598387144660383,0.067828541548252,1,1,1
GSE250136,mast,sample_single_cell,Apex1,H,Morphotypeneural_bias,0.47146067733115593,NA,NA,NA,NA,0.08626132396286357,0.08626132396286357,0.4952366770489633,0.8500836443186205,0.8372051465332381,0.8446921523154036
GSE250136,mast,sample_single_cell,Aprt,H,Morphotypeneural_bias,0.023881190036088552,NA,NA,NA,NA,0.29278065744823323,0.29278065744823323,0.0700255269300938,0.8832840046326084,0.8809864188706219,0.8823221366050722
GSE250136,mast,sample_single_cell,Arf1,H,Morphotypeneural_bias,0.15145836817285385,NA,NA,NA,NA,0.22343718658315304,0.22343718658315304,0.19305290510390624,0.9010423368935787,0.9006433166547534,0.9008752898930201
GSE250136,mast,sample_single_cell,Arf4,H,Morphotypeneural_bias,0.16391229455159892,NA,NA,NA,NA,0.1549909024115208,0.1549909024115208,0.20465073033196707,0.9646120190451679,0.9649749821300929,0.9647639709732925
GSE250136,mast,sample_single_cell,Arf5,H,Morphotypeneural_bias,0.008334112789224022,NA,NA,NA,NA,0.2149490269048151,0.2149490269048151,0.05294712726503654,0.9925363531077082,0.9932094353109364,0.992818134211117
GSE250136,mast,sample_single_cell,Arglu1,H,Morphotypeneural_bias,0.13999967891644594,NA,NA,NA,NA,0.24332965472046064,0.24332965472046064,0.18225567956500735,0.8830266374983915,0.8802716225875625,0.881873269993267
GSE250136,mast,sample_single_cell,Arhgdia,H,Morphotypeneural_bias,0.009481896303518797,NA,NA,NA,NA,0.2803607583789929,0.2803607583789929,0.05508530233472825,0.8347702998327113,0.8429235167977126,0.8381835864442283
GSE250136,mast,sample_single_cell,Arl6ip1,H,Morphotypeneural_bias,0.3955507969976633,NA,NA,NA,NA,0.1452288076747994,0.1452288076747994,0.42014972715920956,0.9969115943893965,0.9951751250893496,0.9961846337996558
GSE250136,mast,sample_single_cell,Arpc2,H,Morphotypeneural_bias,0.05043134435170784,NA,NA,NA,NA,0.3047926772580043,0.3047926772580043,0.09679674384017849,0.9989705314631322,0.9992852037169406,0.9991022667763896
GSE250136,mast,sample_single_cell,Arpp19,H,Morphotypeneural_bias,0.035316294622611655,NA,NA,NA,NA,0.3015963860181814,0.3015963860181814,0.08263045371975439,0.804143610860893,0.7996783416726233,0.802274257499813
