study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,n_selected_genes,padj_BH,pct_TLS,pct_neural_bias,detection_freq
GSE250136,mast,sample_single_cell,0610005C13Rik,H,Morphotypeneural_bias,0.66784545683958485,NA,NA,NA,NA,-1.5590707276198247e-4,-1.5590707276198247e-4,11573,0.8300943932820507,0.0027023549092780852,0.0028591851322373124,0.002768010772798683
GSE250136,mast,sample_single_cell,0610009B22Rik,H,Morphotypeneural_bias,0.40119270332029716,NA,NA,NA,NA,-0.011389719582346886,-0.011389719582346886,11573,0.6498883036802727,0.21786127911465705,0.21908506075768405,0.21837360664322586
GSE250136,mast,sample_single_cell,0610010F05Rik,H,Morphotypeneural_bias,0.36094025162764876,NA,NA,NA,NA,0.0058312080115572595,0.0058312080115572595,11573,0.6184188024630074,0.1934114013640458,0.20389563974267333,0.19780055360215457
GSE250136,mast,sample_single_cell,0610010K14Rik,H,Morphotypeneural_bias,0.23376394844873405,NA,NA,NA,NA,-0.013173113974601858,-0.013173113974601858,11573,0.4914819061498456,0.7427615493501479,0.7349892780557541,0.7395077429490536
GSE250136,mast,sample_single_cell,0610012G03Rik,H,Morphotypeneural_bias,0.5783848600676994,NA,NA,NA,NA,-0.02219597417118835,-0.02219597417118835,11573,0.7769990249249382,0.6963067816239866,0.6987133666904932,0.6973142814393656
GSE250136,mast,sample_single_cell,0610030E20Rik,H,Morphotypeneural_bias,0.3258101091305762,NA,NA,NA,NA,0.011792098305459187,0.011792098305459187,11573,0.5873616736032136,0.21194183502766697,0.22784131522516082,0.21859803994912846
GSE250136,mast,sample_single_cell,0610040B10Rik,H,Morphotypeneural_bias,0.3788483392752621,NA,NA,NA,NA,0.008612852410763538,0.008612852410763538,11573,0.6324293929827638,0.1380774675073993,0.15207290922087205,0.14393656018553153
GSE250136,mast,sample_single_cell,1110002J07Rik,H,Morphotypeneural_bias,0.20598882929912649,NA,NA,NA,NA,0.0016162755626934998,0.0016162755626934998,11573,0.4560364898889404,0.013640458113498906,0.01501072194424589,0.014214109373831076
GSE250136,mast,sample_single_cell,1110002L01Rik,H,Morphotypeneural_bias,0.10118639557281753,NA,NA,NA,NA,-0.006468532999138382,-0.006468532999138382,11573,0.30437456968251736,0.08493115429159696,0.08220157255182273,0.08378843420363583
GSE250136,mast,sample_single_cell,1110004F10Rik,H,Morphotypeneural_bias,6.977279856894309e-4,NA,NA,NA,NA,0.16823932489662763,0.16823932489662763,11573,0.00687743462555204,0.9667996396860121,0.9660471765546819,0.9664846263185457
GSE250136,mast,sample_single_cell,1110006O24Rik,H,Morphotypeneural_bias,0.5396756340732061,NA,NA,NA,NA,0.003085622832273087,0.003085622832273087,11573,0.7514290022253809,0.032299575344228545,0.03734810578984989,0.03441310690506471
GSE250136,mast,sample_single_cell,1110008P14Rik,H,Morphotypeneural_bias,0.0095616839972563,NA,NA,NA,NA,0.022291223668683136,0.022291223668683136,11573,0.058235688008552576,0.1732080813280144,0.19353109363831308,0.18171616667913518
GSE250136,mast,sample_single_cell,1110012L19Rik,H,Morphotypeneural_bias,0.07013839568400186,NA,NA,NA,NA,0.01798905863915745,0.01798905863915745,11573,0.24322490705881616,0.16818942221078367,0.1903145103645461,0.17745193386698585
