study,technique,analysis_level,gene,neural__log2FoldChange,neuromesodermal.progenitors__log2FoldChange,pluripotent__log2FoldChange,somitic__log2FoldChange,unknown__log2FoldChange,neural__pvalue,neuromesodermal.progenitors__pvalue,pluripotent__pvalue,somitic__pvalue,unknown__pvalue,neural__padj_celltype_BH,neuromesodermal.progenitors__padj_celltype_BH,pluripotent__padj_celltype_BH,somitic__padj_celltype_BH,unknown__padj_celltype_BH
GSE250136,pseudobulk_deseq2,celltype_barcode,Xkr4,0.5022961613141057,1.5040448664420782,0,0.3066549089221916,-0.28590778941551975,0.7055773359885416,0.2900340149079334,1,0.8320584343842206,0.8450709224643848,1,0.9490120464820053,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm19938,-0.048596351125375,0.2053560137078976,-0.0020025308528972222,0.6073506664345751,0,0.8915328148970598,0.7055682142117878,0.9980544288808464,0.4213726640013406,1,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Sox17,-2.3490632163343244,1.7983784075265108,0.2335067766757102,0,0,0.5751694677610206,0.66911391870763,0.9558022297477609,1,1,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Mrpl15,0.027141351639577614,-0.035090090925401426,-0.14993610437220722,-0.05294931188157521,0.054184649124141046,0.4421989396779544,0.5505960492989712,0.012963583466170499,0.3583545261806082,0.805885375120513,1,0.9922628470126523,0.36832287786615303,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Lypla1,0.008896508093087528,0.1528893097357526,0.04522597516562142,-0.05951671519953619,0.8447620778809003,0.8582855200959476,0.07215423694005213,0.6762392091705864,0.5014681043953668,0.05483436500714689,1,0.8799252832703464,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Tcea1,-0.020881780331718013,0.01853596851259941,0.05862939469148115,0.03388500536807354,-0.050087257043968665,0.5433648708720744,0.723450946565484,0.37577652013023966,0.5184494953315033,0.7617939978069486,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Rgs20,0.7539711125694094,0.3375112765974623,0.8848583075164744,0.23102569833781314,-0.28590798641768633,0.02744123489744555,0.4987680207302878,0.2818007568227467,0.7533978412424236,0.7433665612647202,0.6658492234903984,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Atp6v1h,0.05029302872493383,-0.1830856622932078,0.030597128837740586,-0.035350439593885695,0.23693886191166197,0.514069389958644,0.17991089117826053,0.8342965065968144,0.785638797139772,0.6524225651276667,1,0.9255584286789615,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Oprk1,0.138366403518827,1.6240623798640375,-0.26474370838265704,1.2804957197938363,0,0.9315107068165499,0.31941633616855314,0.8739002100926535,0.4420268732189411,1,1,0.9534338196906869,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Rb1cc1,-0.05155470667540608,-0.031296583554213137,-0.45448872671730556,0.005138399790918618,-0.3902486834366351,0.5264384082916083,0.7976317939599049,0.00927392063151049,0.963296632919259,0.4841063585313444,1,0.9970276317840964,0.3032456329134196,1,1
