study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,celltype,n_selected_genes,padj_celltype_BH,padj_global_BH
GSE250136,pseudobulk_deseq2,celltype_barcode,Mrpl15,477.0368483415928,0.0198306381904055,0.03392061786099719,0.3587940114208834,0.5491767746838057,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Lypla1,181.25687280091557,0.004167757143406922,0.0546618188736153,0.06250757837941023,0.8025756277408702,0.8608234147475787,neural,11352,0.8608234147475787,0.8697240686528788
GSE250136,pseudobulk_deseq2,celltype_barcode,Tcea1,636.4568444117137,-0.025408720701331676,0.030258022824339058,0.7076662518491617,0.40021965004975174,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Rgs20,9.123077856028116,0.28356490739246043,0.22060338384764716,1.6607808931915997,0.19749792221266127,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Atp6v1h,81.10136935604261,0.04397467276343101,0.0739093792183318,0.3555372326433712,0.5509952500221944,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Rb1cc1,102.88517560679932,-0.061605426815486794,0.07222017658948483,0.8894297428475113,0.3456318889580512,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,4732440D04Rik,5.737161139542118,0.10445146353632101,0.2712723946922086,0.30705309366958033,0.5794941798664385,0.8146260760605695,neural,11352,0.8146260760605695,0.8266488139005208
GSE250136,pseudobulk_deseq2,celltype_barcode,Pcmtd1,86.12140131076089,0.08695626219292162,0.08060870002152166,1.1634437417095,0.28075248200018543,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm26901,37.61231479912643,-0.052140114384118315,0.11486890015975652,0.6975769730771617,0.4035990660876423,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Rrs1,370.51539226594235,-0.028888549376805586,0.03967412206108051,0.9784718685000087,0.3225763686222865,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Mybl1,18.85801847211305,-0.1344779411044453,0.16055283861495717,1.2095038740810367,0.27143040062123913,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Vcpip1,50.922016146419644,-0.047608464425565954,0.09879264827440502,0.9849008955384875,0.3209918417987128,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Snhg6,338.57571842927166,-0.08783129548690125,0.05310805941252516,2.804927236606062,0.09397510804599912,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Cops5,373.2705038279085,-0.019287096781104254,0.03692659068311631,0.27600225623865526,0.5993335323562533,0.8146260760605695,neural,11352,0.8146260760605695,0.8273276829977327
GSE250136,pseudobulk_deseq2,celltype_barcode,Cspp1,258.71009210900934,0.004984346856792396,0.04992325484242298,0.35148377789417395,0.5532743988277943,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Arfgef1,114.25449902891071,0.063650652117919,0.06498079320756134,1.3198841545561208,0.2506128423764338,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Prex2,54.75565544151052,0.0477541845842931,0.09525795864322141,1.2054438762875748,0.2722363313644673,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,A830018L16Rik,6.314896340691169,0.005308971753282103,0.2770897826674348,0.2896957493770458,0.5904155671962573,0.8146260760605695,neural,11352,0.8146260760605695,0.8266606139333916
GSE250136,pseudobulk_deseq2,celltype_barcode,Sulf1,71.40864671299549,-0.06749057166147858,0.11247431199486706,0.36288331337974,0.5469092614401075,0.8146260760605695,neural,11352,0.8146260760605695,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Slco5a1,36.193158565373736,-0.015451420842586954,0.1076505266335425,0.0342007978115646,0.8532803501247114,0.8865832188391939,neural,11352,0.8865832188391939,0.8916560666942376
