study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_BH
GSE250136,pseudobulk_deseq2,sample_barcode,Xkr4,1.7539000760742702,0.511305026560188,0.6020816307802666,0.8492287431150543,0.3957540223006354,NA,0.9604166938433869
GSE250136,pseudobulk_deseq2,sample_barcode,Gm19938,7.843070242964473,0.16999033703662275,0.24791520746637444,0.6856793448610009,0.4929153345955725,0.8803562442470723,0.9824000748663361
GSE250136,pseudobulk_deseq2,sample_barcode,Sox17,0.9256283154797628,-1.920843602941804,1.0730707950586218,-1.7900436875060683,0.0734468884590532,NA,0.6390372977569959
GSE250136,pseudobulk_deseq2,sample_barcode,Mrpl15,943.60797247930725,0.0070400549372540006,0.04046628903364638,0.17397332706738758,0.8618864244608391,0.9761012001782373,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Lypla1,347.7661668940961,0.0322778935418756,0.04459105310345849,0.7238647956348024,0.46914874473676454,0.8749014246946959,0.9804266527942409
GSE250136,pseudobulk_deseq2,sample_barcode,Tcea1,1203.992764660128,0.013199800690137917,0.022814325176532355,0.578575109629616,0.562875903548051,0.9089788857145243,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Rgs20,13.922396988954423,0.29870366587410013,0.18492997836745564,1.615225765508804,0.10626181279866168,0.5839080229917648,0.7289371391169484
GSE250136,pseudobulk_deseq2,sample_barcode,Atp6v1h,160.4447872161943,0.02289903648489319,0.059198642055839884,0.3868169216329891,0.6988917489101545,0.940209416695985,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Oprk1,1.2495823804668693,0.00913456699507593,0.5955548507183617,0.015337910494823042,0.9877625978342849,NA,0.9963178040579762
GSE250136,pseudobulk_deseq2,sample_barcode,Rb1cc1,209.93025517021212,-0.12313971156677472,0.06113370709819878,-2.0142686810890758,0.04398133227029793,0.41516341133957035,0.5334283475881635
GSE250136,pseudobulk_deseq2,sample_barcode,4732440D04Rik,11.730294160146983,0.045314513472010896,0.20628449994999057,0.219669987240905,0.8261281804468972,0.9669025770188748,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Alkal1,0.37702526777701273,0.9525512039041901,1.29379483635087,0.7362459465295497,0.46158103506084514,NA,0.9804266527942409
GSE250136,pseudobulk_deseq2,sample_barcode,St18,0.1775987176878572,0.6378869240537921,2.0138517346495393,0.31674969565959654,0.7514335371477155,NA,0.9939750250947177
