study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,n_selected_genes,padj_BH
GSE250136,pseudobulk_deseq2,sample_barcode,Gm19938,7.845817176664209,0.16870119530843605,0.24934777099703098,0.46140372978985056,0.49696866794872374,0.8371288386154895,12491,0.8371288386154895
GSE250136,pseudobulk_deseq2,sample_barcode,Mrpl15,943.9514415863092,0.007084458007923924,0.04052262751899976,0.07238497608972239,0.7878953913170857,0.8850448275519741,12491,0.8850448275519741
GSE250136,pseudobulk_deseq2,sample_barcode,Lypla1,347.88797833090246,0.032268820912436484,0.04468440442116848,0.521904078059805,0.4700305847830251,0.8295379947694294,12491,0.8295379947694294
GSE250136,pseudobulk_deseq2,sample_barcode,Tcea1,1204.4159434036524,0.01321056480097289,0.022759007369164762,0.43511554740481984,0.5094894435552334,0.8418312273189651,12491,0.8418312273189651
GSE250136,pseudobulk_deseq2,sample_barcode,Rgs20,13.926347035081708,0.29834363527186647,0.18610470116439856,2.5754957611484883,0.10853009490824789,0.5551959295075238,12491,0.5551959295075238
GSE250136,pseudobulk_deseq2,sample_barcode,Atp6v1h,160.5019510103967,0.02296059188932695,0.05944867313416855,0.15744895408940351,0.6915161457083676,0.8706756737934088,12491,0.8706756737934088
GSE250136,pseudobulk_deseq2,sample_barcode,Rb1cc1,210.00589673938626,-0.12299602652883729,0.061386056453125906,4.141738637392933,0.04183817667180603,0.3783916195733942,12491,0.3783916195733942
GSE250136,pseudobulk_deseq2,sample_barcode,4732440D04Rik,11.734064028417988,0.045272130232953366,0.2075903654745386,0.1072680762684115,0.743276089496965,0.8772089005360781,12491,0.8772089005360781
GSE250136,pseudobulk_deseq2,sample_barcode,Pcmtd1,195.46749136910387,0.002023172858600489,0.062219842362096565,0.14860966669618847,0.6998675668892927,0.8709165750969591,12491,0.8709165750969591
GSE250136,pseudobulk_deseq2,sample_barcode,Gm26901,65.72329402905666,0.08945542383721838,0.09949983571312432,0.8604558827647111,0.3536111474863029,0.7798217312166262,12491,0.7798217312166262
GSE250136,pseudobulk_deseq2,sample_barcode,Rrs1,667.6522866649173,-0.003400760430263414,0.029769947763897353,0.020261002081554125,0.886810546918296,0.9188930820627087,12491,0.9188930820627087
GSE250136,pseudobulk_deseq2,sample_barcode,Mybl1,32.00987725895523,-0.008367094822786305,0.1324012859512908,0.0725883893892103,0.7876047079871473,0.8850197500851308,12491,0.8850197500851308
GSE250136,pseudobulk_deseq2,sample_barcode,Vcpip1,98.42934240459846,-0.02616898795116952,0.07824816216931438,0.25546730667480233,0.613251418887995,0.8646508891345801,12491,0.8646508891345801
GSE250136,pseudobulk_deseq2,sample_barcode,Sgk3,8.040991834901398,-0.03518189768585275,0.2562860640923979,0.023144827553181813,0.8790810574164112,0.9146944688379011,12491,0.9146944688379011
GSE250136,pseudobulk_deseq2,sample_barcode,Snhg6,683.7674915221796,-0.031087184364214725,0.04742237935436978,0.45201023638935567,0.5013818678718929,0.8386580326396065,12491,0.8386580326396065
GSE250136,pseudobulk_deseq2,sample_barcode,Cops5,697.9149832467758,-0.03698411453769999,0.02809122843478041,1.7644136952341967,0.18407494199621524,0.6514264912042164,12491,0.6514264912042164
GSE250136,pseudobulk_deseq2,sample_barcode,Cspp1,498.4139280451017,0.00440579672336058,0.03719833907667819,0.029409830222476785,0.8638361772581485,0.9084133006142882,12491,0.9084133006142882
GSE250136,pseudobulk_deseq2,sample_barcode,Arfgef1,209.04373377136878,0.03558361132331594,0.04827476333974187,0.5605887453363323,0.4540231253654595,0.8263656059289928,12491,0.8263656059289928
GSE250136,pseudobulk_deseq2,sample_barcode,Prex2,102.64443755432298,0.029272933262032723,0.0709439267031997,0.20055919460983773,0.6542698583708721,0.8687397193882632,12491,0.8687397193882632
GSE250136,pseudobulk_deseq2,sample_barcode,A830018L16Rik,19.56842156898008,-0.24549926319140777,0.21192376998020215,1.3653406472075744,0.24261404095121153,0.7075914857481037,12491,0.7075914857481037
GSE250136,pseudobulk_deseq2,sample_barcode,Sulf1,157.26734536796891,-0.21767392237894564,0.09871384835007649,4.880772460936072,0.027157462987707184,0.3159883223745622,12491,0.3159883223745622
GSE250136,pseudobulk_deseq2,sample_barcode,Slco5a1,61.6613345108293,-4.032970921720785e-4,0.08763680635872509,0.06330970882720521,0.8013392767801364,0.8868601755007091,12491,0.8868601755007091
GSE250136,pseudobulk_deseq2,sample_barcode,Ncoa2,217.17944619538622,0.03468382743384327,0.052197914224356705,0.488482312167406,0.4846050923949605,0.8338225105404404,12491,0.8338225105404404
GSE250136,pseudobulk_deseq2,sample_barcode,Tram1,479.12326687085795,-0.026998791994495414,0.03209270496094336,0.7579415200334836,0.3839734873565134,0.7974573311886538,12491,0.7974573311886538
GSE250136,pseudobulk_deseq2,sample_barcode,Lactb2,95.2026929122256,0.1148689406072993,0.10430908974153602,1.3191759895259452,0.25073998834424793,0.7131089070073577,12491,0.7131089070073577
GSE250136,pseudobulk_deseq2,sample_barcode,Eya1,64.78912004645186,-0.7582869472785626,0.19112420324348023,15.647096544060105,7.632967931219514e-5,0.04296388910881507,12491,0.04296388910881507
GSE250136,pseudobulk_deseq2,sample_barcode,Kcnb2,73.95452685210176,0.43208294516825196,0.16655822849492993,6.738279524292238,0.009436558933725244,0.2036124409820917,12491,0.2036124409820917
