luque_cluster_annotation,parameter,factor,c_lower,c_effect,c_upper,c_pH0,c_FDR,c_rhat,c_ess_bulk,c_ess_tail,v_lower,v_effect,v_upper,v_pH0,v_FDR,v_rhat,v_ess_bulk,v_ess_tail
neural,(Intercept),NA,1.11275688325,1.311152055,1.5032646895,0,0,0.9998817650602386,3897.8805875787457,3728.2394493827087,-2.6142348585,-2.152112545,-1.68528714925,0,0,1.001093683310869,3776.026059476162,3577.91728229024
neural,Morphotypeneural_bias,Morphotype,0.16689253,0.404745951,0.6474033459,0.005499999999999949,0.002999999999999947,1.0010395726718555,3873.940036042544,3799.8234127881533,NA,NA,NA,NA,NA,NA,NA,NA
neuromesodermal progenitors,(Intercept),NA,0.42080132332500003,0.654181299,0.8863361052250001,0,0,1.0003882064254344,4079.404680819572,3677.485729302902,-2.99406117975,-2.5364660949999998,-2.0621789749999997,0,0,1.0009313145132144,4044.1546724435743,3651.995380838067
neuromesodermal progenitors,Morphotypeneural_bias,Morphotype,-0.994491920775,-0.6524455935,-0.307016361,4.999999999999449e-4,4.999999999999449e-4,1.0013228423191416,3933.5525149392633,3845.350910337178,NA,NA,NA,NA,NA,NA,NA,NA
pluripotent,(Intercept),NA,-1.3725555275,-1.0389766900000001,-0.73455356065,0,0,1.000460163278276,3979.219848485336,3763.0633016469237,-4.274702737,-3.6870008199999997,-3.138165859,0,0,0.9997842641468093,4093.5921208710993,3733.2927703056616
pluripotent,Morphotypeneural_bias,Morphotype,-0.25446166819999994,0.1356426455,0.5259615693000002,0.43674999999999997,0.09459999999999998,1.0004673679387797,3761.082861503345,3381.993980542736,NA,NA,NA,NA,NA,NA,NA,NA
somitic,(Intercept),NA,0.44033795477499993,0.6474175055,0.8579094032750002,0,0,1.0003718984038186,3959.859332347868,3962.409291865136,-3.54028862775,-3.010334815,-2.4428722905,0,0,1.0001054995512244,3987.5188470562402,3616.3484225779853
somitic,Morphotypeneural_bias,Morphotype,-0.73284789175,-0.4289393725,-0.12411610627499998,0.018750000000000044,0.009062499999999973,1.0006038422221148,3980.4228965441707,3874.686801651124,NA,NA,NA,NA,NA,NA,NA,NA
unknown,(Intercept),NA,-1.8952878842499998,-1.5751724500000002,-1.2355373612499998,0,0,1.0011065575275464,4026.5900361368767,3800.101754123745,-4.972022614499999,-4.2750670799999995,-3.5617940522500002,0,0,1.0006785521240578,3983.4862785668397,3848.7825832273757
unknown,Morphotypeneural_bias,Morphotype,0.15855820622500003,0.5440416255,0.91704728705,0.011499999999999955,0.005833333333333283,1.0002026422123893,4018.3261922862134,3877.477776623744,NA,NA,NA,NA,NA,NA,NA,NA
