luque_cluster_annotation,parameter,factor,c_lower,c_effect,c_upper,c_pH0,c_FDR,c_rhat,c_ess_bulk,c_ess_tail,v_lower,v_effect,v_upper,v_pH0,v_FDR,v_rhat,v_ess_bulk,v_ess_tail
neural,(Intercept),NA,1.11382449125,1.31215427,1.5153376412500001,0,0,1.0011832044727906,3780.9444097990345,3842.1145591561026,-2.61498980375,-2.15874114,-1.6845429285,0,0,1.0007174900892983,3973.8299578847386,3701.370781877424
neural,Morphotypeneural_bias,Morphotype,0.13580467410000002,0.40642243899999997,0.6580045839,0.013000000000000012,0.007416666666666664,1.0011741171599409,3888.403122405415,3619.2878380479824,NA,NA,NA,NA,NA,NA,NA,NA
neuromesodermal progenitors,(Intercept),NA,0.41852671507500006,0.6548571495,0.8908441059500001,0,0,0.9999214040513917,3942.8643133198834,3577.42682097792,-3.01741806875,-2.53546686,-2.05584613,0,0,1.0008973766762463,3630.4405445853013,3326.3485149866947
neuromesodermal progenitors,Morphotypeneural_bias,Morphotype,-0.982115915375,-0.651804763,-0.3262223056749999,0.0012499999999999734,0.0012499999999999734,0.9997651740256458,3852.3869050397716,3763.504865695929,NA,NA,NA,NA,NA,NA,NA,NA
pluripotent,(Intercept),NA,-1.3740814315,-1.041010585,-0.722244394875,0,0,0.9998241377698659,4306.445393892127,3736.3982037482765,-4.25455757875,-3.70399623,-3.1475887657499997,0,0,0.9997887016237484,3527.8270814324883,3468.78357290589
pluripotent,Morphotypeneural_bias,Morphotype,-0.25960904910000004,0.13572877049999998,0.530277101425,0.43000000000000005,0.09340000000000001,1.0003938790235165,4012.4103850434876,3501.825155851168,NA,NA,NA,NA,NA,NA,NA,NA
somitic,(Intercept),NA,0.44646373414999996,0.651240921,0.8649421812,0,0,0.9998035771471974,4128.497478743005,3921.2100103888906,-3.5612099094999996,-2.9884590849999997,-2.4269856720000003,0,0,1.0005169391894333,3968.92231764091,3587.250938623875
somitic,Morphotypeneural_bias,Morphotype,-0.734761608875,-0.432127243,-0.13730013112499997,0.01475000000000004,0.009250000000000008,1.0006548194136373,3872.5661171986244,3757.99657619599,NA,NA,NA,NA,NA,NA,NA,NA
unknown,(Intercept),NA,-1.8929390687499998,-1.575799795,-1.266153039,0,0,1.0002064676131595,3803.013113871891,3807.186666557614,-4.96949970875,-4.282393174999999,-3.593025045,0,0,1.0003093637755585,4229.358515650974,3765.067693701366
unknown,Morphotypeneural_bias,Morphotype,0.179715212825,0.5464163375,0.923784345975,0.008000000000000007,0.00462499999999999,1.0001908987624688,3656.885441292027,3505.9773127188014,NA,NA,NA,NA,NA,NA,NA,NA
